GA 1 (100p 200g),GA 1 (200p 100g),GA 2 (100p 200g),GA 2 (200p 100g),SCIP,SAT,CP
14.1100,15.4800,13.9400,14.5700,0.0180,0.0160,0.0161
396.7800,408.8600,385.4100,391.1500,14400.0000,89.9500,41.3938
183.7200,194.1600,177.7800,179.4600,12088.1770,28.6110,9.7119
1029.5800,1096.5800,1010.3900,999.0500,14400.0000,1132.0410,670.9422
1021.9900,1087.8400,995.7200,991.3300,14400.0000,1164.0640,712.5164
1010.7400,1088.3400,999.9200,989.9800,899.0770,149.0030,146.1263
94.4800,103.1400,92.9500,92.9000,218.3620,4.1730,2.7747
65.4600,71.0400,62.9800,63.3700,10.0530,1.0620,0.8112
1016.6300,1081.7500,989.1200,984.1400,14400.0000,1227.1670,612.7436
667.4200,721.8600,653.5400,646.9300,14400.0000,479.4120,146.2288
1015.7400,1081.4000,998.3700,988.1100,14400.0000,1598.0060,661.8213
278.8200,301.7100,270.5400,271.3600,14400.0000,199.0360,71.0602
386.5900,410.0200,376.0700,375.4200,14400.0000,299.8750,103.6237
89.5100,96.4900,85.9300,85.0500,104.9960,25.4900,6.7355
1014.4500,1080.0200,993.9100,969.4800,14400.0000,1137.6690,504.7464
